Ticker,Company Name,Sub-Sector,Market Cap ($B),EV/EBITDA (NTM),P/E (NTM),FCF Yield (%),PEG Ratio,Valuation Assessment,Pass/Cut,Cut Reason
CW,Curtiss-Wright,Aerospace & Defense,26.1,20,28,3.0,2.0,Fair - defense and nuclear exposure,PASS,
HUBB,Hubbell Incorporated,Electrical Equipment,25.3,18,24,3.5,1.8,Fair - grid modernization beneficiary,PASS,
WWD,Woodward Inc.,Aerospace & Defense,22.3,22,30,2.5,2.0,Fair - aerospace and energy controls,PASS,
VLTO,Veralto Corporation,Water/Pollution Treatment,22.0,20,28,3.0,2.5,Full - Danaher-quality spinoff premium,PASS,
PPG,PPG Industries,Industrial Coatings,21.7,14,18,4.5,2.0,Fair - depressed on construction/auto softness,PASS,
NVT,nVent Electric,Electrical Equipment,18.8,18,26,3.2,1.5,Fair - electrification and data center cooling,PASS,
BWXT,BWX Technologies,Aerospace & Defense,18.3,20,30,2.5,2.2,Full - nuclear renaissance premium,PASS,
PKG,Packaging Corp of America,Specialty Packaging,18.1,12,18,4.5,2.0,Fair - well-run containerboard at reasonable valuation,PASS,
FTV,Fortive Corporation,Test & Measurement,17.0,18,24,3.5,2.0,Fair - Danaher playbook with smaller platform,PASS,
LII,Lennox International,Building Products & HVAC,16.3,18,26,3.5,2.0,Fair - residential HVAC recovery play,PASS,
ITT,ITT Inc.,Industrial Automation,15.7,16,22,3.8,1.5,Attractive - underappreciated compounder,PASS,
TRMB,Trimble Inc.,Test & Measurement,15.4,18,26,3.2,1.8,Fair - construction and ag tech platform,PASS,
WSO,Watsco Inc.,Industrial Distribution,15.2,18,28,3.0,2.0,Fair - HVAC distribution with recurring replacement,PASS,
BALL,Ball Corporation,Specialty Packaging,15.2,14,22,3.5,2.0,Fair - aluminum can duopoly position,PASS,
NDSN,Nordson Corporation,Industrial Automation,14.7,20,28,3.0,2.5,Full - precision dispensing niche premium,PASS,
TXT,Textron Inc.,Aerospace & Defense,14.7,10,14,5.5,1.2,Attractive - aviation and defense at discount,PASS,
CLH,Clean Harbors,Waste Management,14.6,12,20,4.0,1.3,Attractive - hazardous waste scarcity premium emerging,PASS,
RPM,RPM International,Specialty Chemicals,14.5,14,20,4.0,1.8,Fair - specialty coatings compounder,PASS,
PNR,Pentair plc,Water Infrastructure,14.1,16,22,3.5,2.0,Fair - water filtration and treatment,PASS,
GGG,Graco Inc.,Fluid Handling,13.9,22,32,2.8,3.0,Premium,CUT,Elevated PEG on mid-single-digit growth; priced for perfection
IEX,IDEX Corporation,Fluid Handling,13.7,20,28,3.0,2.8,Full - niche fluid handling premium,PASS,
CSL,Carlisle Companies,Building Products,13.4,14,18,4.5,1.5,Attractive - CCM roofing dominance at fair price,PASS,
AVY,Avery Dennison,Specialty Packaging,12.4,14,20,4.0,1.8,Fair - RFID and labeling growth,PASS,
STRL,Sterling Infrastructure,Engineering & Construction,12.3,14,20,4.0,1.0,Attractive - e-infrastructure and data center growth,PASS,
ALLE,Allegion plc,Fire/Life Safety & Security,12.3,16,22,3.8,2.0,Fair - access control and security,PASS,
AEIS,Advanced Energy Industries,Electrical Equipment,12.0,16,22,4.0,1.5,Fair - semiconductor and industrial power,PASS,
GNRC,Generac Holdings,Power Management,11.7,16,24,3.5,1.5,Fair - grid instability driving backup power demand,PASS,
SAIA,Saia Inc.,Transportation & Logistics,10.5,14,22,3.5,1.3,Fair - LTL network expansion story,PASS,
WMS,Advanced Drainage Systems,Building Products,10.3,14,20,4.0,1.5,Fair - stormwater infrastructure beneficiary,PASS,
DY,Dycom Industries,Engineering & Construction,10.1,10,16,5.0,1.0,Attractive - telecom and utility infrastructure,PASS,
WTS,Watts Water Technologies,Water Infrastructure,9.8,16,24,3.5,1.8,Fair - water quality and safety regulation,PASS,
AIT,Applied Industrial Tech,Industrial Distribution,9.5,14,18,4.5,1.2,Attractive - industrial distribution with value-add,PASS,
BLD,TopBuild Corp.,Building Products,9.4,12,16,5.0,1.2,Attractive - insulation installation duopoly,PASS,
SPXC,SPX Technologies,Building Products,9.3,16,24,3.5,1.5,Fair - HVAC and detection solutions,PASS,
CNM,Core & Main,Industrial Distribution,9.0,14,22,3.5,1.3,Fair - water infrastructure distribution,PASS,
BLDR,Builders FirstSource,Building Products,9.0,8,12,6.5,1.0,Attractive - value-added building products at discount,PASS,
OSK,Oshkosh Corporation,Farm & Construction Equipment,8.8,8,12,6.0,1.0,Attractive - defense and specialty vehicles at value,PASS,
CGNX,Cognex Corporation,Test & Measurement,8.2,35,55,1.5,3.5,Premium,CUT,Extreme valuation on cyclically depressed earnings; PEG unsustainable even with recovery
AYI,Acuity Brands,Electrical Equipment,8.2,14,20,4.5,1.8,Fair - intelligent spaces platform evolution,PASS,
OC,Owens Corning,Building Products,8.0,8,12,6.0,1.2,Attractive - roofing and insulation at cycle discount,PASS,
TTEK,Tetra Tech,Engineering & Construction,7.9,16,24,3.5,1.8,Fair - water and environmental consulting,PASS,
POOL,Pool Corporation,Industrial Distribution,7.4,18,26,3.2,2.2,Full - pool industry monopoly distribution,PASS,
ZWS,Zurn Elkay Water Solutions,Water Infrastructure,7.3,18,28,3.0,1.5,Fair - water safety and sustainability,PASS,
AWI,Armstrong World Industries,Building Products,7.0,16,22,4.0,2.0,Fair - ceiling systems with pricing power,PASS,
ESE,ESCO Technologies,Test & Measurement,6.8,16,22,3.8,1.8,Fair - niche test and utility solutions,PASS,
MSA,MSA Safety,Fire/Life Safety & Security,6.6,20,28,3.0,2.5,Full - safety equipment premium,PASS,
AAON,AAON Inc.,Building Products & HVAC,6.5,22,30,2.5,1.5,Fair - data center cooling and custom HVAC,PASS,
FSS,Federal Signal Corp.,Pollution Treatment,6.4,14,20,4.0,1.5,Fair - environmental and safety equipment,PASS,
POWL,Powell Industries,Electrical Equipment,6.3,12,16,5.0,0.8,Attractive - grid and data center switchgear boom,PASS,
HXL,Hexcel Corporation,Aerospace & Defense,6.2,14,22,3.5,1.8,Fair - aerospace composites recovery,PASS,
ENS,EnerSys,Electrical Equipment,6.1,10,14,5.5,1.2,Attractive - industrial batteries and energy storage,PASS,
MOG.A,Moog Inc.,Aerospace & Defense,5.8,12,16,4.5,1.5,Fair - precision motion control for defense,PASS,
SITE,SiteOne Landscape Supply,Industrial Distribution,5.7,18,28,2.5,1.8,Fair - landscape supply consolidator,PASS,
VNT,Vontier Corporation,Test & Measurement,5.0,10,14,5.5,1.5,Attractive - fueling and mobility tech at discount,PASS,
LPX,Louisiana-Pacific Corp.,Building Products,4.9,8,12,6.5,1.0,Attractive - siding and OSB at cycle discount,PASS,
BRC,Brady Corporation,Fire/Life Safety & Security,3.8,14,20,4.5,2.5,Full - identification and safety labels,PASS,
TREX,Trex Company,Building Products,3.8,18,28,3.0,1.8,Fair - composite decking secular shift,PASS,
MATX,Matson Inc.,Transportation & Logistics,3.8,6,10,8.0,0.8,Attractive - Hawaii/Alaska shipping at deep value,PASS,
SLGN,Silgan Holdings,Specialty Packaging,4.0,10,14,5.5,1.5,Fair - metal/plastic containers at reasonable price,PASS,
HRI,Herc Holdings,Rental Equipment,3.4,6,10,7.0,0.8,Attractive - equipment rental at significant discount,PASS,
EXPO,Exponent Inc.,Engineering & Construction,3.3,22,32,2.8,2.5,Full - premium consulting but stretched valuation,PASS,
ABM,ABM Industries,Facility Services,3.0,8,12,6.5,1.2,Attractive - facility services at value,PASS,
MGRC,McGrath RentCorp,Rental Equipment,2.6,10,14,5.5,1.2,Attractive - modular buildings and test equipment rental,PASS,
HWKN,Hawkins Inc.,Specialty Chemicals,2.5,12,18,4.5,1.2,Attractive - water treatment chemicals distribution,PASS,
IOSP,Innospec Inc.,Specialty Chemicals,2.3,10,14,5.5,1.5,Fair - specialty chemicals at reasonable price,PASS,
DXPE,DXP Enterprises,Industrial Distribution,2.0,10,14,5.5,1.0,Attractive - industrial distribution acquirer at value,PASS,
